frame,fish_id,length_cm
0,1,7.8080615234375
0,2,8.415977783203125
0,3,7.584080200195313
0,4,7.9932403564453125
1,1,7.885045166015625
1,2,8.562444458007812
1,3,7.56348388671875
1,4,7.527821044921875
2,1,7.700641479492187
2,2,8.541749877929687
2,3,7.537744140625
2,4,7.681344604492187
3,1,7.771044311523437
3,2,8.431927490234376
3,3,8.23971923828125
3,4,7.933733520507812
4,1,8.053994140625
4,2,8.71606689453125
4,3,8.379256591796874
4,4,7.7254345703125
5,1,8.046390380859375
5,2,8.869740600585937
5,3,7.77708740234375
5,4,7.561053466796875
6,1,7.96102294921875
6,2,8.675462036132812
6,3,7.7648779296875
6,4,7.599861450195313
7,1,8.014401245117188
7,2,8.571201171875
7,3,7.799426879882812
7,4,7.673115234375
8,1,8.0625634765625
8,2,8.442874145507812
8,3,7.93170166015625
8,4,7.702478637695313
9,1,8.240360107421875
9,2,8.086527099609375
9,3,7.945965576171875
9,4,7.898685302734375
9,5,3.2953500366210937
10,1,8.246349487304688
10,2,8.333914794921874
10,3,7.997345581054687
10,4,7.972351684570312
10,5,3.4838272094726563
11,1,7.944403076171875
11,2,8.849841918945312
11,3,8.092215576171874
11,4,7.617341918945312
11,5,3.33580322265625
12,1,7.966442260742188
12,2,7.378906860351562
12,3,8.162435913085938
12,4,8.8841455078125
12,5,3.4020980834960937
13,1,7.928419799804687
13,2,7.653587646484375
13,3,8.16070068359375
13,4,8.884921264648437
13,5,3.97533447265625
14,1,8.06518310546875
14,2,7.740159301757813
14,3,8.227559204101562
14,4,8.8101708984375
14,5,4.086817932128906
15,1,8.00112548828125
15,2,7.77581787109375
15,3,8.243353271484375
15,4,8.79459716796875
15,5,4.443006591796875
16,1,7.9669256591796875
16,2,7.716028442382813
16,3,8.333699951171875
16,4,8.65068359375
16,5,3.8615576171875
17,1,7.9531793212890625
17,2,7.708021240234375
17,3,8.477152709960938
17,4,3.5602236938476564
17,5,8.767810668945312
18,1,7.875776977539062
18,2,7.765198974609375
18,3,8.481103515625
18,4,3.940848693847656
18,5,8.803759155273438
19,1,7.9341845703125
19,2,7.74337646484375
19,3,8.501482543945313
19,4,5.3092108154296875
19,5,8.79950439453125
20,1,7.915623779296875
20,2,7.803582763671875
20,3,8.488817749023438
20,4,5.863059692382812
20,5,8.690054931640624
21,1,7.82527587890625
21,2,8.098562622070313
21,3,8.447850952148437
21,4,8.72943115234375
22,1,7.815900268554688
22,2,8.40455322265625
22,3,8.352489624023438
22,4,7.089613037109375
23,1,7.686519775390625
23,2,8.613600463867188
23,3,7.271365356445313
23,4,7.812315673828125
24,1,7.728941650390625
24,2,8.515508422851562
24,3,6.881773071289063
24,4,8.671735229492187
25,1,7.6908416748046875
25,2,8.55216552734375
25,3,5.804840698242187
25,4,9.134395751953125
26,1,7.666544799804687
26,2,8.56665283203125
26,3,4.739902648925781
26,4,9.21394775390625
26,5,3.9696316528320312
27,1,7.670491943359375
27,2,8.40580810546875
27,3,4.351653442382813
27,4,9.301802368164063
28,1,7.72159912109375
28,2,8.356571044921875
28,3,5.198355712890625
28,4,9.310194702148438
28,5,8.983026733398438
