frame_idx,fish_id,length_cm
0,1,6.847963256835937
1,2,5.867860717773437
2,3,5.978231201171875
3,1,7.020718383789062
4,2,5.772672729492188
5,3,6.1539544677734375
6,1,7.041751098632813
7,2,5.81379638671875
8,3,6.319590454101562
9,1,7.222438354492187
10,2,5.7558526611328125
11,3,6.460200805664062
12,1,6.792500610351563
13,2,5.813681030273438
14,3,6.405458374023437
15,1,6.162350463867187
16,2,5.769019775390625
17,3,6.203948974609375
18,1,5.943137817382812
19,2,5.807725219726563
20,3,6.183514404296875
21,1,5.829584350585938
22,2,5.750630493164063
23,3,6.356004638671875
24,1,5.74128662109375
25,2,5.633232421875
26,3,6.268489990234375
27,1,6.003001098632812
28,2,5.678618774414063
29,3,6.724349365234375
30,1,5.728637084960938
31,2,5.5529547119140625
32,3,6.62489501953125
33,1,5.011719665527344
34,2,5.655038452148437
35,3,6.483577270507812
36,1,5.9320947265625
37,2,4.712439270019531
38,3,6.38760009765625
39,1,5.457874755859375
40,2,5.185985107421875
41,3,6.305743408203125
42,1,5.89751708984375
43,2,5.5170355224609375
44,3,6.199522094726563
45,1,6.341643676757813
46,2,5.43905517578125
47,3,6.189480590820312
48,1,5.866983032226562
49,2,6.618473510742188
50,3,6.609692993164063
51,1,7.20645263671875
52,2,5.91468017578125
53,3,6.382322998046875
54,1,7.2440728759765625
55,2,5.875642700195312
56,3,6.3273486328125
57,1,6.450118408203125
58,2,5.773104858398438
59,3,6.198286743164062
60,1,5.466159057617188
61,2,6.114177856445313
62,3,5.753296508789062
63,1,6.102782592773438
64,2,5.542542114257812
65,3,5.7997265625
66,1,6.057634887695312
67,2,5.583113403320312
68,3,6.05893310546875
69,1,5.49247802734375
70,2,6.073602294921875
71,3,6.66386474609375
72,1,5.562042236328125
73,2,6.2505615234375
74,3,7.266314086914062
75,1,5.598343505859375
76,2,6.254050903320312
77,3,7.497388916015625
78,1,5.60509521484375
79,2,6.428601684570313
80,3,7.457865600585937
81,1,5.613282470703125
82,2,6.54483642578125
83,3,7.380311279296875
84,1,5.579033203125
85,2,6.473768310546875
86,3,7.758222045898438
87,1,6.8053662109375
88,2,5.534656982421875
89,3,6.648760986328125
90,1,6.520394897460937
91,2,5.620302124023437
92,3,7.0718927001953125
93,1,6.523080444335937
94,2,6.465820922851562
95,3,5.686544799804688
96,1,6.498338623046875
97,2,6.404502563476562
98,3,5.599017333984375
99,1,6.537745971679687
100,2,5.385995483398437
101,3,6.332040405273437
102,1,6.9619140625
103,2,5.464116821289062
104,3,6.253735961914063
105,1,7.11207275390625
106,2,5.275232543945313
107,3,6.337471923828125
108,1,7.05783447265625
109,2,5.536412963867187
110,3,6.303096923828125
111,1,6.9704437255859375
112,2,5.63692626953125
113,3,6.4030029296875
114,1,6.832459106445312
115,2,6.376947631835938
