                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.1047,                0.15444,                 0.0953,                0.60604,                 1.2157,                0.98413,                0.99685,                0.99233,                0.68515,                0.98102,                0.99369,                0.99211,                0.98851,                 1.1297,                0.08884,                 0.0204,                0.51999,                 1.2856,              0.0017228,              0.0017228,              0.0017228
                     23,                 1.0854,                0.14961,                0.09066,                0.59491,                 1.2049,                0.98502,                0.99685,                0.99041,                0.69582,                0.98363,                0.99685,                0.99017,                0.98893,                 1.0734,                0.08775,                0.00802,                0.50727,                  1.271,              0.0017096,              0.0017096,              0.0017096
                     24,                 1.0832,                0.15281,                0.08393,                0.60012,                 1.2026,                0.98889,                0.99369,                0.99292,                0.66964,                0.98694,                0.99054,                0.99289,                0.99088,                 1.1384,                0.09393,                0.01948,                0.52542,                 1.2663,              0.0016964,              0.0016964,              0.0016964
                     25,                 1.0881,                0.14021,                0.08965,                0.60417,                 1.2121,                0.98738,                0.98697,                0.99088,                0.68284,                0.98738,                0.98697,                0.99217,                0.99054,                 1.0933,                 0.0896,                 0.0069,                0.50953,                 1.2893,              0.0016832,              0.0016832,              0.0016832
                     26,                 1.0805,                0.12888,                0.08077,                0.59365,                 1.2034,                0.98135,                0.99575,                0.99426,                0.68263,                0.97824,                 0.9926,                0.99381,                 0.9899,                 1.1357,                0.08246,                0.01754,                0.51322,                  1.271,                0.00167,                0.00167,                0.00167
                     27,                  1.052,                 0.1354,                0.08355,                0.58501,                 1.1783,                0.99372,                0.99797,                0.99437,                0.66153,                0.99058,                0.99482,                0.99419,                0.98987,                 1.1721,                0.08834,                0.00795,                0.50939,                 1.2855,              0.0016568,              0.0016568,              0.0016568
                     28,                 1.0525,                0.12749,                0.08348,                0.58189,                 1.1844,                0.99633,                      1,                0.99481,                0.70702,                0.99319,                0.99685,                0.99442,                0.99394,                 1.0953,                0.07034,                0.01353,                0.48297,                 1.2708,              0.0016436,              0.0016436,              0.0016436
                     29,                 1.0582,                0.13459,                0.08514,                0.58571,                 1.2031,                0.98748,                0.99555,                0.99229,                0.70057,                0.98433,                  0.991,                0.99329,                0.99154,                  1.094,                0.07534,                0.00744,                0.49084,                 1.2671,              0.0016304,              0.0016304,              0.0016304
                     30,                 1.0564,                0.13587,                0.08848,                0.58505,                 1.1941,                0.99006,                      1,                0.99439,                0.70495,                0.98693,                0.99685,                0.99423,                0.99384,                 1.1058,                0.07706,                0.00776,                0.48904,                 1.2645,              0.0016172,              0.0016172,              0.0016172
                     31,                 1.0241,                0.12276,                0.08174,                 0.5641,                 1.1743,                0.98283,                      1,                0.99246,                0.68388,                0.98115,                0.99685,                0.99237,                0.98995,                 1.1355,                0.08164,                0.00458,                0.48843,                 1.3124,               0.001604,               0.001604,               0.001604
