epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,465.023,0.95761,0.15334,0.1065,0.59211,1.10276,0.99593,1,0.995,0.6977,0.98348,0.9875,0.98177,0.98177,1.07318,0.14058,0.00986,0.50946,1.20813,0.0016436,0.0016436,0.0016436
29,481.153,0.94541,0.14378,0.10165,0.58628,1.09016,0.99936,1,0.995,0.73788,0.98686,0.9875,0.97852,0.97839,1.01629,0.13334,0.01877,0.45054,1.17008,0.0016304,0.0016304,0.0016304
30,496.8,0.945,0.1617,0.09828,0.58197,1.09745,0.99769,0.99375,0.995,0.72213,0.98514,0.98125,0.98016,0.97997,0.98852,0.12928,0.01213,0.46506,1.19074,0.0016172,0.0016172,0.0016172
31,512.874,0.93592,0.13377,0.09805,0.58402,1.09608,0.99964,1,0.995,0.70278,0.98713,0.9875,0.98513,0.98469,1.18207,0.13181,0.00767,0.47547,1.32003,0.001604,0.001604,0.001604
32,529.696,0.9323,0.12635,0.09999,0.57892,1.08938,0.99947,1,0.995,0.72615,0.98697,0.9875,0.98584,0.98422,1.10819,0.12475,0.01465,0.45392,1.27687,0.0015908,0.0015908,0.0015908
33,545.518,0.92239,0.13495,0.0973,0.57564,1.07787,0.9987,1,0.995,0.7374,0.98622,0.9875,0.98219,0.98045,0.96699,0.12766,0.01082,0.43713,1.15088,0.0015776,0.0015776,0.0015776
34,561.623,0.93539,0.13972,0.08587,0.57727,1.09258,0.99857,0.99375,0.995,0.76044,0.98601,0.98125,0.98504,0.98478,0.97748,0.11217,0.00615,0.42627,1.1468,0.0015644,0.0015644,0.0015644
35,577.768,0.91707,0.12362,0.08544,0.56606,1.08184,0.99911,1,0.995,0.72372,0.98662,0.9875,0.9807,0.97907,1.04235,0.11897,0.01298,0.43832,1.2094,0.0015512,0.0015512,0.0015512
36,594.907,0.90586,0.12061,0.08586,0.56296,1.07433,0.99957,1,0.995,0.76468,0.98708,0.9875,0.98638,0.98638,0.99034,0.11003,0.01005,0.4311,1.1547,0.001538,0.001538,0.001538
37,610.732,0.90913,0.12016,0.08478,0.56159,1.08146,0.99946,1,0.995,0.74753,0.98697,0.9875,0.98495,0.98477,0.9838,0.13207,0.00819,0.42972,1.16763,0.0015248,0.0015248,0.0015248
38,626.403,0.89213,0.11568,0.08407,0.55313,1.07444,0.99849,1,0.995,0.75031,0.98601,0.9875,0.98536,0.98474,1.04457,0.12824,0.0065,0.42127,1.2016,0.0015116,0.0015116,0.0015116
39,642.473,0.90127,0.10987,0.07868,0.54214,1.07961,0.99249,1,0.9945,0.74545,0.98008,0.9875,0.9857,0.9857,1.01749,0.11592,0.01834,0.43053,1.15743,0.0014984,0.0014984,0.0014984
40,659.048,0.87867,0.09809,0.07275,0.53598,1.06456,0.99939,1,0.995,0.72576,0.98689,0.9875,0.98571,0.98571,1.08655,0.10654,0.0056,0.44224,1.21673,0.0014852,0.0014852,0.0014852
41,675.241,0.89169,0.12387,0.07689,0.55458,1.07419,0.999,1,0.995,0.72616,0.98651,0.9875,0.98461,0.98461,1.02745,0.11115,0.00327,0.42832,1.21266,0.001472,0.001472,0.001472
